127.0.0.1 - - [13/Mar/2024:09:08:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:08:22 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:08:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:08:48 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:10 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:11 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:11 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:13 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:13 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:14 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:14 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:14 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:15 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:15 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:15 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:15 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:15 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:17 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:17 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:37 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:37 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:38 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:38 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:38 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:38 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:38 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:38 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:39 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:39 +0900] "GET /client/html/ex07_font.html HTTP/1.1" 304 -
